time(ms);RPM(1/min);IAT2(°C);SHRTFT1(%);SHRTFT2(%);LOAD(%);ECT(°C)
0;616;-;-;-;-;-
0;615;40;-;-;-;-
11;615;40;-7.81;-;-;-
20;614;40;-7.81;-7.81;-;-
34;613;40;-7.81;-7.81;25.49;-
40;613;40;-7.81;-7.81;25.49;83
50;612;40;-7.81;-7.81;25.49;83
62;611;40;-7.81;-7.81;25.49;83
71;610;40;-7.81;-7.81;25.49;83
83;610;40;-7.81;-7.81;25.49;83
91;609;40;-7.81;-7.81;25.49;83
101;608;40;-7.81;-7.81;25.49;83
112;607;40;-7.81;-7.03;25.49;83
121;608;40;-7.81;-7.03;25.49;83
131;608;40;-7.81;-7.03;25.49;83
140;608;40;-7.81;-7.03;25.49;83
150;608;40;-7.81;-7.03;25.49;83
163;608;40;-7.81;-7.03;25.49;83
171;608;40;-7.81;-7.03;25.49;83
184;609;40;-7.81;-7.03;25.49;83
192;609;40;-7.81;-7.03;25.49;83
201;609;40;-7.81;-7.03;25.49;83
211;610;40;-7.81;-7.03;25.49;83
219;610;40;-7.03;-7.03;25.49;83
232;610;40;-7.03;-7.03;25.49;83
240;611;40;-7.03;-7.03;25.49;83
251;611;40;-7.03;-7.03;25.49;83
261;611;40;-7.03;-7.03;25.49;83
272;611;40;-7.03;-7.03;25.49;83
283;611;40;-7.03;-7.03;25.49;83
291;611;40;-7.03;-7.03;25.49;83
300;611;40;-7.03;-7.03;25.49;83
310;611;40;-7.03;-7.03;25.49;83
322;611;40;-7.03;-7.03;25.49;83
334;611;40;-7.03;-7.03;25.49;83
342;612;40;-7.03;-7.03;25.49;83
351;612;40;-7.03;-6.25;25.49;83
363;612;40;-7.03;-6.25;25.49;83
372;612;40;-7.03;-6.25;25.49;83
384;611;40;-7.03;-6.25;25.49;83
392;611;40;-7.03;-6.25;25.49;83
401;611;40;-7.03;-6.25;25.49;83
412;611;40;-7.03;-6.25;25.49;83
422;611;40;-7.03;-6.25;25.49;83
431;610;40;-7.03;-6.25;25.49;83
442;610;40;-7.03;-6.25;25.49;83
453;609;40;-7.03;-6.25;25.49;83
461;609;40;-7.03;-6.25;25.49;83
471;608;40;-7.03;-6.25;25.49;83
483;609;40;-7.03;-6.25;25.49;83
491;610;40;-7.03;-6.25;25.49;83
501;610;40;-7.03;-6.25;25.49;83
512;611;40;-7.03;-6.25;25.49;83
522;611;40;-6.25;-6.25;25.49;83
532;612;40;-6.25;-5.47;25.49;83
