time(ms);RPM(1/min);IAT2(°C);SHRTFT1(%);SHRTFT2(%);LOAD(%);ECT(°C)
0;623;-;-;-;-;-
0;622;45;-;-;-;-
15;621;45;-5.47;-;-;-
25;619;45;-5.47;-7.81;-;-
34;618;45;-5.47;-7.81;23.92;-
44;617;45;-5.47;-7.81;23.92;85
55;616;45;-5.47;-7.81;23.92;85
65;617;45;-5.47;-7.81;23.92;85
76;619;45;-5.47;-7.81;23.92;85
84;620;45;-5.47;-7.81;23.92;85
100;621;45;-5.47;-7.81;23.92;85
117;623;45;-5.47;-7.81;23.92;85
125;624;45;-5.47;-7.03;23.92;85
136;625;45;-5.47;-7.03;23.92;85
145;625;45;-5.47;-7.03;23.92;85
155;626;45;-5.47;-7.03;23.92;85
164;627;45;-5.47;-7.03;23.92;85
176;627;45;-4.69;-7.03;23.92;85
184;628;45;-4.69;-7.03;23.92;85
199;628;45;-4.69;-7.03;23.53;85
215;628;45;-4.69;-7.03;23.53;85
223;628;45;-4.69;-7.03;23.53;85
236;628;45;-4.69;-7.03;23.53;85
244;628;45;-4.69;-7.03;23.53;85
255;628;45;-4.69;-7.03;23.53;85
267;628;45;-4.69;-7.03;23.53;85
276;629;45;-4.69;-7.03;23.53;85
284;630;45;-4.69;-7.03;23.53;85
298;630;45;-4.69;-7.03;23.53;85
316;631;45;-3.91;-7.03;23.53;85
325;632;45;-3.91;-7.03;23.53;85
336;631;45;-3.91;-7.03;23.53;85
345;630;45;-3.91;-7.03;23.53;85
356;630;45;-3.91;-7.03;23.53;85
362;629;45;-3.91;-7.03;23.53;85
375;628;45;-3.91;-7.03;23.53;85
384;628;45;-3.91;-7.03;23.53;85
401;627;45;-3.91;-7.03;23.14;85
415;626;45;-3.91;-7.03;23.14;85
423;625;45;-3.91;-7.03;23.14;85
436;625;45;-3.91;-7.03;23.14;85
445;624;45;-3.91;-7.03;23.14;85
456;623;45;-3.91;-6.25;23.14;85
463;624;45;-3.91;-6.25;23.14;85
