time(ms);RPM(1/min);MAP(kPa);IAT2(°C);TP_REL(%);FRP(kPa);SHRTFT1(%);SHRTFT2(%);LOAD(%);TCBP_DSD(kPa);WGATE_PRES(kPa);FUELSYS_A_PCTB1(%);FUELSYS_B_PCTB1(%)
0;634;-;-;-;-;-;-;-;-;-;-;-
0;634;60.0;-;-;-;-;-;-;-;-;-;-
11;633;60.0;53;-;-;-;-;-;-;-;-;-
21;632;60.0;53;3.53;-;-;-;-;-;-;-;-
30;632;60.0;53;3.53;8190.0;-;-;-;-;-;-;-
40;631;60.0;53;3.53;8190.0;-0.78;-;-;-;-;-;-
50;631;60.0;53;3.53;8190.0;-0.78;-2.34;-;-;-;-;-
59;630;61.0;53;3.53;8190.0;-0.78;-2.34;50.98;-;-;-;-
71;630;61.0;53;3.53;8190.0;-0.78;-2.34;50.98;98.8;-;-;-
80;629;61.0;53;3.53;8190.0;-0.78;-2.34;50.98;98.8;98.0;-;-
88;628;61.0;53;3.53;8190.0;-0.78;-2.34;50.98;98.8;98.0;0.00;100.00
106;628;61.0;53;3.53;8190.0;-0.78;-2.34;50.98;98.8;98.0;0.00;100.00
120;628;61.0;53;3.53;8190.0;-0.78;-2.34;50.98;98.8;98.0;0.00;100.00
129;629;61.0;53;3.53;8190.0;-0.78;-2.34;51.37;98.8;98.0;0.00;100.00
140;629;61.0;53;3.53;8190.0;-0.78;-2.34;51.37;98.8;98.0;0.00;100.00
148;629;61.0;53;3.53;8190.0;-0.78;-2.34;51.37;98.8;98.0;0.00;100.00
162;630;61.0;53;3.53;8190.0;-0.78;-2.34;51.37;98.8;98.0;0.00;100.00
170;630;61.0;53;3.53;8190.0;-0.78;-2.34;51.37;98.8;98.0;0.00;100.00
179;630;60.0;53;3.53;8190.0;-0.78;-2.34;51.37;98.8;98.0;0.00;100.00
191;631;60.0;53;3.53;8190.0;-0.78;-2.34;51.37;98.8;98.0;0.00;100.00
200;631;60.0;53;3.53;8190.0;-0.78;-2.34;51.37;98.8;98.0;0.00;100.00
212;631;60.0;53;3.53;8190.0;-0.78;-2.34;51.37;98.8;98.0;0.00;100.00
236;632;60.0;53;3.53;8190.0;0.00;-2.34;51.37;98.8;98.0;0.00;100.00
250;631;60.0;53;3.53;8190.0;0.00;-2.34;51.37;98.8;98.0;0.00;100.00
259;630;60.0;53;3.53;8190.0;0.00;-2.34;51.37;98.8;98.0;0.00;100.00
270;629;60.0;53;3.53;8190.0;0.00;-2.34;51.37;98.8;98.0;0.00;100.00
278;628;60.0;53;3.53;8190.0;0.00;-2.34;51.37;98.8;98.0;0.00;100.00
289;628;60.0;53;3.53;8190.0;0.00;-2.34;51.37;98.8;98.0;0.00;100.00
300;627;60.0;53;3.53;8190.0;0.00;-2.34;51.37;98.8;98.0;0.00;100.00
312;626;60.0;53;3.53;8190.0;0.00;-2.34;51.37;98.8;98.0;0.00;100.00
320;625;60.0;53;3.53;8190.0;0.00;-2.34;51.37;98.8;98.0;0.00;100.00
331;624;60.0;53;3.53;8190.0;0.00;-2.34;51.37;98.8;98.0;0.00;100.00
338;623;60.0;53;3.53;8190.0;0.00;-2.34;51.37;98.8;98.0;0.00;100.00
355;623;60.0;53;3.53;8190.0;0.78;-2.34;51.37;98.8;98.0;0.00;100.00
369;623;60.0;53;3.53;8190.0;0.78;-1.56;51.37;98.8;98.0;0.00;100.00
380;624;60.0;53;3.53;8190.0;0.78;-1.56;51.76;98.8;98.0;0.00;100.00
389;625;60.0;53;3.53;8190.0;0.78;-1.56;51.76;98.8;98.0;0.00;100.00
398;626;60.0;53;3.53;8190.0;0.78;-1.56;51.76;98.8;98.0;0.00;100.00
416;626;60.0;53;3.53;8190.0;0.78;-1.56;51.76;98.8;98.0;0.00;100.00
431;627;60.0;53;3.53;8190.0;0.78;-1.56;51.76;98.8;98.0;0.00;100.00
441;628;61.0;53;3.53;8190.0;0.78;-1.56;51.76;98.8;98.0;0.00;100.00
450;628;61.0;53;3.53;8190.0;0.78;-1.56;51.76;98.8;98.0;0.00;100.00
462;629;61.0;53;3.53;8190.0;0.78;-1.56;51.76;98.8;98.0;0.00;100.00
