time(ms);RPM(1/min);IAT2(°C);SHRTFT1(%);SHRTFT2(%);LOAD(%);ECT(°C)
0;625;-;-;-;-;-
0;626;49;-;-;-;-
11;627;49;0.00;-;-;-
21;627;49;0.00;0.00;-;-
32;628;49;0.00;0.00;25.88;-
40;629;49;0.00;0.00;25.88;87
51;629;49;0.00;0.00;25.88;87
61;630;49;0.00;0.00;25.88;87
70;631;49;0.00;0.00;25.88;87
83;632;49;0.00;0.00;25.88;87
89;632;49;0.00;0.00;25.88;87
99;633;49;0.00;0.00;25.88;87
111;634;49;0.00;0.00;25.88;87
120;632;49;0.00;0.00;25.88;87
132;631;49;0.00;0.00;25.88;87
140;629;49;0.00;0.00;25.88;87
149;628;49;0.00;0.00;25.88;87
163;626;49;0.00;0.00;25.88;87
180;625;49;0.00;0.00;25.88;87
191;624;49;0.00;0.00;25.88;87
200;624;49;0.00;0.00;25.88;87
211;624;49;0.00;0.00;25.88;87
222;624;49;0.00;0.00;25.88;87
231;624;49;0.00;0.00;25.88;87
242;624;49;0.00;0.00;25.88;87
248;624;49;0.00;0.00;26.27;87
261;624;49;0.00;0.00;26.27;87
269;624;49;0.00;0.00;26.27;87
280;625;49;0.00;0.00;26.27;87
291;625;49;0.00;0.00;26.27;87
301;625;49;0.00;0.00;26.27;87
309;626;49;0.00;0.00;26.27;87
320;627;49;0.00;0.00;26.27;87
338;628;49;0.00;0.00;26.27;87
352;628;49;0.00;0.00;26.27;87
358;629;49;0.00;0.00;26.27;87
373;630;49;0.00;0.00;26.27;87
391;630;49;0.00;0.00;26.27;87
402;630;49;0.00;0.00;26.27;87
412;630;49;0.00;0.00;26.27;87
418;630;49;0.00;0.00;26.27;87
431;630;49;0.00;0.00;26.27;87
440;630;49;0.00;0.00;26.27;87
449;630;49;0.00;0.00;26.27;87
461;629;49;0.00;0.00;26.27;87
471;629;49;0.00;0.00;26.27;87
480;629;49;0.00;0.00;26.27;87
490;628;49;0.00;0.00;26.27;87
499;628;49;0.00;0.00;26.27;87
513;628;49;0.00;0.00;26.27;87
531;628;49;0.00;0.00;26.27;87
539;629;49;0.00;0.00;26.27;87
550;629;49;0.00;0.00;26.27;87
562;629;49;0.00;0.00;26.27;87
570;629;49;0.00;0.00;26.27;87
580;630;49;0.00;0.00;26.27;87
591;631;49;0.00;0.00;26.27;87
600;632;49;0.00;0.00;26.27;87
610;632;49;0.00;0.00;26.27;87
621;633;49;0.00;0.00;26.27;87
632;634;49;0.00;0.00;26.27;87
641;633;49;0.00;0.00;25.88;87
649;632;49;0.00;0.00;25.88;87
659;632;49;0.00;0.00;25.88;87
671;631;49;0.00;0.00;25.88;87
680;630;49;0.00;0.00;25.88;87
690;629;49;0.00;0.00;25.88;87
701;629;49;0.00;0.00;25.88;87
710;628;49;0.00;0.00;25.88;87
719;628;49;0.00;0.00;25.88;87
732;627;49;0.00;0.00;25.88;87
740;627;49;0.00;0.00;25.88;87
749;626;49;0.00;0.00;25.88;87
760;627;49;0.00;0.00;25.88;87
769;627;49;0.00;0.00;25.88;87
781;628;49;0.00;0.00;25.88;87
792;629;49;0.00;0.00;25.88;87
798;629;49;0.78;0.00;25.88;87
810;630;49;0.78;0.00;25.88;87
819;630;49;0.78;0.00;25.88;87
831;631;49;0.78;0.00;25.88;87
840;631;49;0.78;0.00;25.88;87
850;631;49;0.78;0.00;25.88;87
862;631;49;0.78;0.00;25.88;87
871;631;49;0.78;0.00;25.88;87
879;631;49;0.78;0.00;25.88;87
891;631;49;0.78;0.00;25.88;87
900;631;49;0.78;0.00;25.88;87
911;631;49;0.78;0.00;25.88;87
920;631;49;0.78;0.00;25.88;87
934;630;49;0.78;0.00;25.88;87
950;630;49;0.78;0.00;25.88;87
960;630;49;0.78;0.00;25.88;87
971;631;49;0.78;0.00;25.88;87
979;631;49;0.78;0.00;25.88;87
988;631;49;0.78;0.00;25.88;87
1000;631;49;0.78;0.00;25.88;87
1011;631;49;0.78;0.00;25.88;87
1021;631;49;0.78;0.00;25.88;87
1031;632;49;0.78;0.00;25.88;87
1039;632;49;0.78;0.00;25.88;87
1052;632;49;0.78;0.00;25.88;87
1060;633;49;0.78;0.00;25.88;87
1071;632;49;0.78;0.00;25.88;87
1080;631;49;0.78;0.00;25.88;87
1089;631;49;0.78;0.00;25.88;87
1099;630;49;0.78;0.00;25.88;87
1111;629;49;0.78;0.00;25.88;87
1120;629;49;0.78;0.00;25.88;87
1132;629;49;0.78;0.00;25.88;87
1140;629;49;0.78;0.00;25.88;87
1151;629;49;0.78;0.00;25.88;87
1162;630;49;0.78;0.00;25.88;87
1171;630;49;0.78;0.00;25.88;87
1181;630;49;0.78;0.00;25.88;87
1189;630;49;0.78;0.00;25.88;87
1199;631;49;0.78;0.00;25.88;87
1211;631;49;0.78;0.00;25.88;87
1219;631;49;0.78;0.00;25.88;87
1233;631;49;0.78;0.00;25.88;87
1240;632;49;0.78;0.00;25.88;87
1251;631;49;0.78;0.00;25.88;87
1260;631;49;0.78;0.00;25.88;87
1269;630;49;0.78;0.00;25.88;87
1280;630;48;0.78;0.00;25.88;87
1291;629;48;0.78;0.00;25.88;87
1300;629;48;0.78;0.00;25.88;87
1312;629;48;0.78;0.00;25.88;87
1320;629;48;0.78;0.00;25.88;87
1341;629;48;0.78;0.00;25.88;87
1350;629;49;0.78;0.00;25.88;87
1359;629;49;0.78;0.00;25.88;87
1371;629;49;0.78;0.00;25.88;87
1381;629;49;0.78;0.00;25.88;87
1390;628;49;0.78;0.00;25.88;87
1400;628;49;0.78;0.00;25.88;87
1410;627;49;0.78;0.00;25.88;87
1418;627;49;0.78;0.00;25.88;87
1432;626;49;0.78;0.00;25.88;87
1439;626;49;0.78;0.00;25.88;87
1450;626;49;0.78;0.00;25.88;87
1461;626;49;0.78;0.00;25.88;87
1471;626;49;0.78;0.00;25.88;87
1480;627;49;0.78;0.00;25.88;87
1491;627;49;0.78;0.00;25.88;87
1502;627;49;0.78;0.00;25.88;87
1511;628;49;0.78;0.00;25.88;87
1519;628;49;0.78;0.00;25.88;87
1531;629;49;0.78;0.00;25.88;87
1540;629;49;0.78;0.00;25.88;87
1550;630;49;0.78;0.00;25.88;87
1560;630;49;0.78;0.00;25.88;87
1571;630;49;0.78;0.00;25.88;87
1581;630;49;0.78;0.00;25.88;87
1589;631;48;0.78;0.00;25.88;87
1600;631;48;0.78;0.00;25.88;87
1609;631;48;0.78;0.00;25.88;87
1621;630;48;0.78;0.00;25.88;87
1634;629;48;0.78;0.00;25.88;87
1649;628;48;0.78;0.00;25.88;87
1660;626;49;0.78;0.00;25.88;87
1670;625;49;0.00;0.00;25.88;87
1681;624;49;0.00;0.00;25.88;87
1691;624;49;0.00;0.00;25.88;87
1701;625;49;0.00;0.00;25.88;87
1710;625;49;0.00;0.00;25.88;87
1721;626;49;0.00;0.00;25.88;87
1733;627;49;0.00;0.00;25.88;87
1750;627;49;0.00;-0.78;25.88;87
1760;627;49;0.00;-0.78;25.88;87
1773;627;49;0.00;-0.78;25.88;87
1782;627;49;0.00;-0.78;25.88;87
1791;626;49;0.00;-0.78;25.88;87
1799;626;49;0.00;-0.78;25.88;87
1811;626;49;0.00;-0.78;25.88;87
1820;627;49;0.00;-0.78;25.88;87
1831;627;49;0.00;-0.78;25.88;87
1841;628;49;0.00;-0.78;25.88;87
1850;629;48;0.00;-0.78;25.88;87
1859;630;48;0.00;-0.78;25.88;87
1870;631;48;0.00;-0.78;25.88;87
1879;630;48;0.00;-0.78;25.88;87
1891;630;48;0.00;-0.78;25.88;87
1899;629;48;0.00;-0.78;25.88;87
1910;628;48;0.00;-0.78;25.88;87
1919;628;48;0.00;-0.78;25.88;87
1933;627;48;0.00;-0.78;25.88;87
1939;627;48;0.00;-0.78;25.88;87
1949;627;48;0.00;-0.78;25.88;87
1960;627;48;0.00;-0.78;25.88;87
1969;627;49;0.00;-0.78;25.88;87
1979;627;49;0.00;-0.78;25.88;87
1989;627;49;0.00;-0.78;25.88;87
2001;626;49;0.00;-0.78;25.88;87
2010;625;49;0.00;-0.78;25.88;87
2020;624;49;0.00;-0.78;25.88;87
2033;623;49;0.00;-0.78;25.88;87
2039;622;49;0.00;-0.78;25.88;87
2051;621;49;0.00;-0.78;25.88;87
2061;621;49;0.00;-0.78;26.27;87
2070;621;49;0.00;-0.78;26.27;87
2079;622;49;0.00;-0.78;26.27;87
2090;622;49;0.00;-0.78;26.27;87
2100;622;49;0.00;-0.78;26.27;87
2112;622;49;0.00;-0.78;26.27;87
2121;624;49;0.00;-0.78;26.27;87
2132;625;49;0.00;-0.78;26.27;87
2142;627;49;0.00;-0.78;26.27;87
2150;628;49;0.00;-0.78;26.27;87
2160;629;49;0.00;-0.78;26.27;87
2169;631;49;0.00;-0.78;26.27;87
2180;631;49;0.00;-0.78;26.27;87
2192;630;49;0.00;-0.78;26.27;87
2201;630;49;0.00;-0.78;26.27;87
2210;630;49;0.00;-0.78;26.27;87
2221;630;49;0.00;-0.78;26.27;87
2230;630;49;0.00;-0.78;26.27;87
2242;630;49;0.00;-0.78;26.27;87
2250;631;49;0.00;-0.78;26.27;87
2260;631;49;0.00;-0.78;26.27;87
2269;631;49;0.00;-0.78;26.27;87
2280;632;49;0.00;-0.78;26.27;87
2292;632;49;0.00;-0.78;26.27;87
2300;632;49;0.00;-0.78;26.27;87
2309;631;49;0.00;-0.78;26.27;87
2320;631;49;0.00;-0.78;26.27;87
2340;631;49;0.00;-0.78;26.27;87
2351;630;49;0.00;-0.78;26.27;87
2361;630;49;0.00;-0.78;26.27;87
2371;628;49;0.00;-0.78;25.88;87
2380;626;49;0.00;-0.78;25.88;87
2392;624;49;0.00;-0.78;25.88;87
2402;622;49;0.00;-0.78;25.88;87
2410;620;49;-0.78;-0.78;25.88;87
2421;618;49;-0.78;-0.78;25.88;87
2433;618;49;-0.78;-0.78;26.27;87
2449;618;49;-0.78;-0.78;26.27;87
2461;618;49;-0.78;-0.78;26.27;87
2469;618;49;-0.78;-0.78;26.27;87
2481;619;49;-0.78;-0.78;26.27;87
2489;619;49;-0.78;-0.78;26.27;87
2501;620;49;-0.78;-0.78;26.27;87
2512;620;49;-0.78;-0.78;26.27;87
2520;621;49;-0.78;-0.78;26.27;87
2533;622;49;-0.78;-0.78;26.27;87
2541;623;49;-0.78;-0.78;26.27;87
2550;624;49;-0.78;-0.78;26.27;87
2561;625;49;-0.78;-0.78;26.27;87
2571;627;49;-0.78;-0.78;26.27;87
2581;628;49;-0.78;-0.78;26.27;87
2590;629;49;-0.78;-0.78;26.27;87
2601;631;49;0.00;-0.78;26.27;87
2610;632;49;0.00;-0.78;26.27;87
2620;632;49;0.00;-0.78;26.27;87
2629;631;49;0.00;-0.78;26.27;87
2639;631;49;0.00;-0.78;26.27;87
2651;631;49;0.00;-0.78;26.27;87
2661;630;49;0.00;-0.78;26.27;87
2670;630;49;0.00;-0.78;26.27;87
2682;630;49;0.00;-0.78;26.27;87
2691;630;49;0.00;-0.78;26.27;87
2699;630;49;0.00;-0.78;26.27;87
2710;630;49;0.00;-0.78;26.27;87
2722;630;49;0.00;-0.78;26.27;87
2733;630;49;0.00;-0.78;26.27;87
2751;630;49;0.00;-0.78;26.27;87
2761;630;49;0.00;-0.78;26.27;87
2770;631;49;0.00;-0.78;26.27;87
2782;631;49;0.00;-0.78;26.27;87
2791;631;49;0.00;-0.78;26.27;87
2800;631;49;0.00;-0.78;26.27;87
2811;631;49;0.00;-0.78;26.27;87
2822;630;49;0.00;-0.78;26.27;87
2832;629;49;0.00;-0.78;26.27;87
2841;629;49;0.00;-0.78;26.27;87
2851;628;49;0.00;-0.78;26.27;87
2860;628;49;0.00;-0.78;26.27;87
2870;627;49;0.00;-0.78;25.88;87
2882;627;49;0.00;-0.78;25.88;87
2892;627;49;0.00;-0.78;25.88;87
2902;626;49;0.00;-0.78;25.88;87
2911;626;49;0.00;-0.78;25.88;87
2919;625;49;0.00;-0.78;25.88;87
2933;625;49;0.00;-0.78;25.88;87
2955;625;49;0.00;-0.78;25.88;87
2971;625;49;0.00;-0.78;25.88;87
2980;625;49;0.00;-0.78;25.88;87
2992;625;49;0.00;-0.78;25.88;87
3000;624;49;0.00;-0.78;25.88;87
3010;624;49;0.00;-0.78;25.88;87
3021;624;49;0.00;-0.78;25.88;87
3030;623;49;0.00;-0.78;25.88;87
3039;623;49;0.00;-0.78;25.88;87
3051;623;49;0.00;-0.78;25.88;87
3061;622;49;0.00;-0.78;25.88;87
3071;624;49;0.00;-0.78;26.27;87
3080;625;49;0.00;-0.78;26.27;87
3092;627;49;0.00;-0.78;26.27;87
3100;629;49;0.00;-0.78;26.27;87
3111;630;49;0.00;-0.78;26.27;87
3121;632;49;0.00;0.00;26.27;87
3133;631;49;0.00;0.00;25.88;87
3152;630;49;0.00;0.00;25.88;87
3162;629;49;0.00;0.00;25.88;87
3170;628;48;0.00;0.00;25.88;87
3181;627;48;-0.78;0.00;25.88;87
3191;626;48;-0.78;0.00;25.88;87
3201;626;48;-0.78;0.00;25.88;87
3211;626;48;-0.78;0.00;25.88;87
3221;625;48;-0.78;0.00;25.88;87
3230;625;48;-0.78;0.00;25.88;87
3239;625;48;0.00;0.00;25.88;87
